id,zh_name,zh_aliases,ancient_name,latin_name,pleiades_id,place_type,note
athenae,雅典,,Ἀθῆναι,Athenae,579885,settlement,
piraeus,比雷埃夫斯,佩雷埃夫斯;派里尤斯,Πειραιεύς,Piraeus,580062,port,雅典外港
sparta,斯巴达,拉刻代蒙,Σπάρτη,Sparta,570685,settlement,
corinthus,科林斯,哥林多,Κόρινθος,Corinthus,570182,settlement,
thebae,底比斯,忒拜,Θῆβαι,Thebae,541138,settlement,玻俄提亚底比斯
delphi,德尔斐,,Δελφοί,Delphi,540726,sanctuary,
olympia,奥林匹亚,,Ὀλυμπία,Olympia,570531,sanctuary,
corcyra,科西拉,克基拉;科孚,Κόρκυρα,Corcyra,530834,settlement,
amphipolis,安菲波利斯,,Ἀμφίπολις,Amphipolis,501347,settlement,
byzantium,拜占庭,拜占廷,Βυζάντιον,Byzantium,520985,settlement,
ilium,特洛伊,伊利昂,Ἴλιον,Ilium,550595,settlement,
mytilene,米提列涅,米蒂利尼,Μυτιλήνη,Mytilene,550763,settlement,累斯博斯岛
chios,希俄斯,开俄斯,Χίος,Chios,550496,settlement,
samos,萨摩斯,,Σάμος,Samos,599925,settlement,
ephesus,以弗所,埃菲索斯,Ἔφεσος,Ephesus,599612,settlement,
miletus,米利都,,Μίλητος,Miletus,599799,settlement,
rhodos,罗得斯,罗得;罗德斯,Ῥόδος,Rhodus,590030,settlement,城市建于公元前408年
syracusae,叙拉古,锡拉库萨,Συράκουσαι,Syracusae,462503,settlement,
rhegium,雷吉翁,雷焦,Ῥήγιον,Rhegium,452416,settlement,
taras,塔拉斯,塔兰托;塔伦图姆,Τάρας,Tarentum,442810,settlement,
dodona,多多纳,,Δωδώνη,Dodona,530843,sanctuary,
ambracia,安布拉基亚,安布拉基亞,Ἀμβρακία,Ambracia,530794,settlement,
naupactus,瑙帕克托斯,纳夫帕克托斯;瑙帕克图斯,Ναύπακτος,Naupactus,540960,settlement,通行古典译名作瑙帕克托斯
thermopylae,温泉关,塞莫皮莱;德摩比利,Θερμοπύλαι,Thermopylae,541140,pass,
plataea,普拉提亚,普拉塔亚,Πλάταιαι,Plataeae,541063,settlement,
chalcis,哈尔基斯,卡尔基斯,Χαλκίς,Chalcis,540703,settlement,埃维亚岛
megara,麦加拉,墨伽拉,Μέγαρα,Megara,570468,settlement,
sicyon,西库翁,锡库翁,Σικυών,Sicyon,570668,settlement,
argos,阿尔戈斯,,Ἄργος,Argos,570106,settlement,
epidaurus,埃皮达鲁斯,埃皮扎夫罗斯,Ἐπίδαυρος,Epidaurus,570228,settlement,
mantinea,曼提尼亚,曼丁尼亚,Μαντίνεια,Mantinea,570459,settlement,
tegea,特该亚,忒该亚;特耶阿,Τεγέα,Tegea,570707,settlement,
pylos,皮洛斯,,Πύλος,Pylos,570640,settlement,美塞尼亚皮洛斯
sphacteria,斯法克特里亚,斯法克特里亚岛,Σφακτηρία,Sphacteria,570686,island,
aegina,埃伊纳,埃吉纳,Αἴγινα,Aegina,579853,settlement,
melos,米洛斯,,Μῆλος,Melos,570474,settlement,
delos,德洛斯,提洛,Δῆλος,Delos,599587,sanctuary,
potidaea,波提狄亚,波提代亚,Ποτείδαια,Potidaea,491701,settlement,
olynthus,奥林托斯,奥林苏斯,Ὄλυνθος,Olynthus,491678,settlement,
eion,埃伊翁,爱昂,Ἠιών,Eion,501410,settlement,
thasos,萨索斯,塔索斯,Θάσος,Thasos,501634,settlement,
samothrace,萨莫色雷斯,萨莫特拉斯;萨莫色雷斯岛,Σαμοθρᾴκη,Samothrace,501596,settlement,
sestos,塞斯托斯,塞司托斯,Σηστός,Sestos,501609,settlement,
abydos,阿拜多斯,阿卑多斯,Ἄβυδος,Abydus,501325,settlement,赫勒斯滂沿岸
lampsacus,兰普萨科斯,朗普萨科斯,Λάμψακος,Lampsacus,501570,settlement,
cyzicus,基齐库斯,库济科斯,Κύζικος,Cyzicus,511218,settlement,
methymna,墨提姆那,美西姆纳,Μήθυμνα,Methymna,550738,settlement,累斯博斯岛
phocaea,福西亚,福凯亚,Φώκαια,Phocaea,550823,settlement,
clazomenae,克拉佐门奈,克拉佐美奈,Κλαζομεναί,Clazomenae,550650,settlement,
erythrae,厄律特莱,埃里色雷,Ἐρυθραί,Erythrae,550535,settlement,爱奥尼亚厄律特莱
halicarnassus,哈利卡纳苏斯,哈利卡那索斯,Ἁλικαρνασσός,Halicarnassus,599636,settlement,
cos,科斯,科斯岛,Κῶς,Cos,599728,settlement,
cnidus,克尼多斯,尼多斯,Κνίδος,Cnidus,599576,settlement,古典时期城址在布尔加兹
segesta,塞杰斯塔,埃杰斯塔,Ἔγεστα,Segesta,462487,settlement,
selinus,塞利努斯,塞利农特,Σελινοῦς,Selinus,462489,settlement,
himera,希梅拉,,Ἱμέρα,Himera,462244,settlement,
acragas,阿克拉加斯,阿格里真托,Ἀκράγας,Acragas,462086,settlement,
gela,杰拉,革拉,Γέλα,Gela,462214,settlement,
camarina,卡马里纳,卡马里那,Καμάρινα,Camarina,462126,settlement,
catana,卡塔那,卡塔尼亚,Κατάνη,Catana,462270,settlement,
leontini,莱昂蒂尼,伦蒂尼,Λεοντῖνοι,Leontini,462279,settlement,
naxos_siciliae,纳克索斯,西西里纳克索斯,Νάξος,Naxos,462386,settlement,西西里的纳克索斯
messana,墨西拿,墨萨那;赞克莱,Ζάγκλη/Μεσσήνη,Messana,462538,settlement,
megara_hyblaea,麦加拉·许布莱亚,墨伽拉·许布莱亚,Μέγαρα Ὑβλαία,Megara Hyblaea,462307,settlement,
motya,莫提亚,莫齐亚,Μοτύη,Motya,462373,settlement,腓尼基城市
panormus,帕诺尔莫斯,巴勒莫,Πάνορμος,Panormus,462410,settlement,腓尼基城市
locri,洛克里,洛克里·埃皮泽菲里,Λοκροὶ Ἐπιζεφύριοι,Locri Epizephyrii,452369,settlement,
croton,克罗顿,克罗托内,Κρότων,Croton,452317,settlement,
